OrderID,OrderDate,CustomerID,ProductCategory,Product,Quantity,Discount,Sales,Profit,PaymentMethod,OrderStatus,CustomerName,Segment,Region,City,State,SignupDate,AgeGroup,Profit Margin,Profit per Unit,Loss Flag,OrderYear,OrderMonth
ORD00001,2025-08-27,CUST0258,Office Supplies,Printer,3.0,0.05,39900.0,7045.57,UPI,Shipped,Priya Naidu,Consumer,South,Bengaluru,Karnataka,2023-07-05,26-35,0.17658070175438595,2348.523333333333,Profit,2025,2025-08
ORD00002,2025-12-24,CUST0030,Accessories,Usb Hub,5.0,0.05,8550.0,3043.49,Cash on Delivery,Delivered,Rahul Sharma,Consumer,West,Mumbai,Maharashtra,2025-03-19,36-50,0.3559637426900584,608.698,Profit,2025,2025-12
ORD00003,2026-07-15,CUST0333,Furniture,Cabinet,2.0,0.2,20800.0,3564.27,Card,Delivered,Aditya Gupta,Consumer,South,Chennai,Tamil Nadu,2023-02-18,26-35,0.1713591346153846,1782.135,Profit,2026,2026-07
ORD00004,2026-02-18,CUST0576,Furniture,Desk,1.0,0.05,14250.0,2908.49,UPI,Delivered,Harini Pillai,Consumer,South,Hyderabad,Telangana,2023-05-25,26-35,0.20410456140350874,2908.49,Profit,2026,2026-02
ORD00005,2025-08-21,CUST0212,Office Supplies,Printer,3.0,0.1,37800.0,5141.35,NetBanking,Delivered,Vikram Singh,Consumer,West,Mumbai,Maharashtra,2025-06-26,26-35,0.13601455026455028,1713.7833333333335,Profit,2025,2025-08
ORD00006,2025-10-21,CUST0579,Electronics,Monitor,3.0,0.05,51300.0,8241.56,UPI,Delivered,Manoj Reddy,Corporate,North,Chandigarh,Chandigarh,2024-10-31,26-35,0.16065419103313838,2747.1866666666665,Profit,2025,2025-10
ORD00007,2025-11-05,CUST0127,Furniture,Bookshelf,3.0,0.3,23100.0,-17457.64,Cash on Delivery,Cancelled,Ananya Patel,Home Office,North,Chandigarh,Chandigarh,2023-08-13,26-35,-0.7557419913419913,-5819.213333333333,Loss,2025,2025-11
ORD00008,2026-02-28,CUST0552,Office Supplies,Stapler,1.0,0.2,280.0,77.37,NetBanking,Delivered,Rahul Pillai,Consumer,West,Mumbai,Maharashtra,2024-11-20,26-35,0.2763214285714286,77.37,Profit,2026,2026-02
ORD00009,2026-04-27,CUST0338,Office Supplies,Desk Organizer,2.0,0.05,1710.0,508.94,Card,Shipped,Kavya Bose,Corporate,South,Hyderabad,Telangana,2024-10-27,26-35,0.29762573099415207,254.47,Profit,2026,2026-04
ORD00010,2026-04-06,CUST0195,Office Supplies,Stapler,2.0,0.0,700.0,240.0,Cash on Delivery,Delivered,Nisha Kulkarni,Corporate,South,Coimbatore,Tamil Nadu,2024-04-23,18-25,0.34285714285714286,120.0,Profit,2026,2026-04
